product_id,pro_name
83,Kairali Rasanadi Choornam (10 grams)
84,Kairali Rasanadi Choornam (50 grams)
85,Kairali Shaddharana Choornam (50 grams)
86,Kairali Thaleespatradi Choornam (50 grams)
87,Kairali Vaiswanara Choornam (50 grams)
88,Kairali Valiya Karpooradi Choornam (50 grams)
89,Kairali Anu Thailam (10 ml)
90,Kairali Balaguluchyadi Kera Thailam (200 ml)
91,Kairali Balaswagandhadi Thailam (200 ml)
92,Kairali Bala Thailam (10 ml)
93,Kairali Cheriya Chandhanadi Thailam (200 ml)
94,Kairali Dhanwantharam Thailam (200 ml)
95,Kairali Dhoordhoorapathradi Kera Thailam (200 ml)
96,Kairali Eladi Kera Thailam (200 ml)
97,Kairali Gandha Thailam (10 ml)
98,Kairali Karpasasthyadi Thailam (200 ml)
99,Coffee coco butter ylang ylang soap 125gm
100,Kairali Karpooradi Thailam (200 ml)
101,Wheat Germ Orange vit E Soap 125gm
102,Kairali Kayyanyadi Kera Thailam (200 ml)
103,Moisturizing Aloe Vera Jasmine 125gm
104,Almond Rose Jojoba soap 125gm
105,Kairali Kayyanyadi Thailam (200 ml)
106,Kairali Kottamchukkadi Thailam (200 ml)
107,Cinnamon Honey Lavendar 125gm
108,Aromatic Lemongrass Shea Butter Clove 125gm
109,Kairali Ksheerabala(101) (10 ml)
110,Apple Cider  Bergamot Soap 125gm
111,Kairali Lakshadi Kuzhambu (200 ml)
112,Kairali Maharajaprasarani Thailam (10 ml)
113,Goat Milk Lavendar Soap 125gm
114,Kairali Nalpamaradi Thailam (200 ml)
115,Walnut Cinnamon Scrub Soap 125gm
116,Oatmeal Lemongrass Soap 125gm
117,Kairali Neelibringadi Kera Thailam (200 ml)
118,Fuller Earth Papaya Extract 125gm
119,Kairali Neelibringadi Thailam (200 ml)
120,Creamy Orange Mustard Seeds 125gm
121,Kairali Pinda Thailam (200 ml)
122,Kairali Prabhanjanavimardanam Thailam (200 ml)
123,Pumpkin seed Ylang Ylang 125gm
124,Kairali Sudhabala Thailam (200 ml)
125,Kairali Thriphaladi Kera Thailam (200 ml)
126,Mocha  Calendula Cedar 125gm
127,Kairali Valiya Chinchadi Thailam (200 ml)
128,Calendula  Rosemary Shea Butter 125gm
129,Kairali Valiya Narayana Thailam (200 ml)
130,Kairali Valiya Sahacharadi Thailam (200 ml)
131,Avocado Peppermint Tea Tree Vit E 125gm
132,Tulsi Rosemary Shea Butter Vit E Soap 125gm
133,Charcoal Cedar Soap 125gm
134,Neem Oil Tea Tree Clove 125gm
135,Calamine Rosemary Soap 125gm
136,Mulethi Turmeric Sandal Soap 125gm
137,Honey Rose Vit E 125gm
138,Anti-aging Argan Aloe Cucumber 125gm
139,Turmeric Lemon Clarifying 125gm
140,Green Tea Lemongrass 125gm
141,Tulsi Aloe Honey Geranium 125gm
142,Neem Basil Sandalwood 125gm
143,Sandalwood Almond  Vit E Avocado Neem  125 gm
144,Refreshing Bath Oil 150ml
145,Toning 5 Element Massage  Oil 150ml
146,Baby Soothing Massage Oil 150ml
147,Stress Relief Massage Oil 150ml
148,Deep Sleep Relaxation Oil 150ml
149,Pain Relief Oil 150ml
150,Arogya Rahasya Amla juice 500ml
151,Arogya Rahasya Karela juice 500ml
152,Arogyarahasya Jamun juice 500ml
153,Arogya Rahasya Karela jamun juice 500ml
154,Arogya Rahasya Neem juice 500ml
155,Arogya Rahasya Giloy juice 500ml
156,Arogyarahasya Turmeric juice 200ml
157,Darjeeling Green tea with Rose Petals 10 tea bags
158,Darjeeling Green Tea with Arjun Bark (Ayurvedic Herb) 50gms
159,Green tea with lemongrass-50gm
160,Darjeeling Green tea with Ginger
161,Green Tea with Indian Masala
162,Organic Moringa Powder ayurvedic shigru powder 100gms
163,Darjeeling  Black Tea FTGFOP 1 50gms
164,Woods n petals Chamomile Tea -10 bags
165,Sweet Almond Cocoa Body Butter 100gm
166,Green Tea with Jasmine Flower -10 bags
167,Arogya rahasyamulu Telugu book
168,Arogya Rahasya Godhan Telugu book
169,White Tea -10 bags
170,Arogya Rahasya Idi swatantryama banisatwama Telugu book
171,Organic moringa mint tea  ( Ayurvedic shigru pudina chai ) -10 bags
